Condition,Leg,Muscle 1,Muscle 2,Significant Gait Phases
nopert,Left,BICEPSFEM_LT_uV,LAT_GASTROLT_uV,34.5% - 58.0%
nopert,Left,BICEPSFEM_LT_uV,MED_GASTROLT_uV,36.5% - 60.5%
nopert,Left,BICEPSFEM_LT_uV,SOLEUSLT_uV,34.5% - 57.5%
nopert,Left,BICEPSFEM_LT_uV,VLOLT_uV,35.0% - 45.5%
nopert,Left,BICEPSFEM_LT_uV,RECTUSFEM_LT_uV,36.0% - 45.5%
nopert,Left,BICEPSFEM_LT_uV,TIB_ANT_LT_uV,41.0% - 44.0%
nopert,Left,LAT_GASTROLT_uV,MED_GASTROLT_uV,47.0% - 47.5%; 51.5% - 56.0%
nopert,Left,LAT_GASTROLT_uV,SOLEUSLT_uV,None
nopert,Left,LAT_GASTROLT_uV,VLOLT_uV,0.0% - 5.0%; 81.5% - 99.5%
nopert,Left,LAT_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 4.5%; 82.5% - 99.5%
nopert,Left,LAT_GASTROLT_uV,TIB_ANT_LT_uV,0.0% - 3.0%; 87.0% - 99.5%
nopert,Left,MED_GASTROLT_uV,SOLEUSLT_uV,None
nopert,Left,MED_GASTROLT_uV,VLOLT_uV,0.0% - 2.5%; 76.5% - 99.5%
nopert,Left,MED_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 0.5%; 75.0% - 99.5%
nopert,Left,MED_GASTROLT_uV,TIB_ANT_LT_uV,73.0% - 98.5%
nopert,Left,SOLEUSLT_uV,VLOLT_uV,0.0% - 8.5%; 77.0% - 99.5%
nopert,Left,SOLEUSLT_uV,RECTUSFEM_LT_uV,0.0% - 6.5%; 77.5% - 99.5%
nopert,Left,SOLEUSLT_uV,TIB_ANT_LT_uV,0.0% - 5.5%; 83.5% - 99.5%
nopert,Left,VLOLT_uV,RECTUSFEM_LT_uV,None
nopert,Left,VLOLT_uV,TIB_ANT_LT_uV,58.5% - 65.0%
nopert,Left,RECTUSFEM_LT_uV,TIB_ANT_LT_uV,60.0% - 65.0%
nopert,Right,BICEPSFEM_RT_uV,LAT_GASTRORT_uV,0.0% - 4.5%; 89.0% - 99.5%
nopert,Right,BICEPSFEM_RT_uV,MED_GASTRORT_uV,0.0% - 6.0%; 88.0% - 99.5%
nopert,Right,BICEPSFEM_RT_uV,SOLEUSRT_uV,0.0% - 4.5%; 87.5% - 99.5%
nopert,Right,BICEPSFEM_RT_uV,VLORT_uV,88.5% - 95.0%
nopert,Right,BICEPSFEM_RT_uV,RECTUSFEM_RT_uV,90.0% - 94.5%
nopert,Right,BICEPSFEM_RT_uV,TIB_ANT_RT_uV,None
nopert,Right,LAT_GASTRORT_uV,MED_GASTRORT_uV,0.0% - 5.0%; 51.5% - 57.5%; 93.5% - 99.5%
nopert,Right,LAT_GASTRORT_uV,SOLEUSRT_uV,None
nopert,Right,LAT_GASTRORT_uV,VLORT_uV,30.5% - 50.0%
nopert,Right,LAT_GASTRORT_uV,RECTUSFEM_RT_uV,33.0% - 53.0%
nopert,Right,LAT_GASTRORT_uV,TIB_ANT_RT_uV,40.0% - 47.0%
nopert,Right,MED_GASTRORT_uV,SOLEUSRT_uV,None
nopert,Right,MED_GASTRORT_uV,VLORT_uV,24.5% - 49.5%
nopert,Right,MED_GASTRORT_uV,RECTUSFEM_RT_uV,30.0% - 51.0%
nopert,Right,MED_GASTRORT_uV,TIB_ANT_RT_uV,23.0% - 47.5%
nopert,Right,SOLEUSRT_uV,VLORT_uV,28.0% - 51.5%
nopert,Right,SOLEUSRT_uV,RECTUSFEM_RT_uV,32.5% - 55.0%
nopert,Right,SOLEUSRT_uV,TIB_ANT_RT_uV,43.0% - 55.5%
nopert,Right,VLORT_uV,RECTUSFEM_RT_uV,None
nopert,Right,VLORT_uV,TIB_ANT_RT_uV,None
nopert,Right,RECTUSFEM_RT_uV,TIB_ANT_RT_uV,None
p20,Left,BICEPSFEM_LT_uV,LAT_GASTROLT_uV,32.0% - 57.0%
p20,Left,BICEPSFEM_LT_uV,MED_GASTROLT_uV,35.5% - 60.0%
p20,Left,BICEPSFEM_LT_uV,SOLEUSLT_uV,31.5% - 56.5%
p20,Left,BICEPSFEM_LT_uV,VLOLT_uV,36.0% - 47.0%
p20,Left,BICEPSFEM_LT_uV,RECTUSFEM_LT_uV,37.0% - 46.5%
p20,Left,BICEPSFEM_LT_uV,TIB_ANT_LT_uV,37.5% - 44.0%
p20,Left,LAT_GASTROLT_uV,MED_GASTROLT_uV,56.0% - 58.5%
p20,Left,LAT_GASTROLT_uV,SOLEUSLT_uV,None
p20,Left,LAT_GASTROLT_uV,VLOLT_uV,0.0% - 5.5%; 81.5% - 99.5%
p20,Left,LAT_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 4.5%; 86.0% - 99.5%
p20,Left,LAT_GASTROLT_uV,TIB_ANT_LT_uV,0.0% - 5.0%; 86.0% - 99.5%
p20,Left,MED_GASTROLT_uV,SOLEUSLT_uV,None
p20,Left,MED_GASTROLT_uV,VLOLT_uV,0.0% - 2.0%; 78.5% - 99.5%
p20,Left,MED_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 1.0%; 80.0% - 99.5%
p20,Left,MED_GASTROLT_uV,TIB_ANT_LT_uV,0.0% - 0.0%; 77.0% - 99.5%
p20,Left,SOLEUSLT_uV,VLOLT_uV,0.0% - 7.5%; 83.5% - 99.5%
p20,Left,SOLEUSLT_uV,RECTUSFEM_LT_uV,0.0% - 2.5%; 93.0% - 99.5%
p20,Left,SOLEUSLT_uV,TIB_ANT_LT_uV,None
p20,Left,VLOLT_uV,RECTUSFEM_LT_uV,None
p20,Left,VLOLT_uV,TIB_ANT_LT_uV,56.5% - 66.0%
p20,Left,RECTUSFEM_LT_uV,TIB_ANT_LT_uV,59.5% - 67.5%
p20,Right,BICEPSFEM_RT_uV,LAT_GASTRORT_uV,0.0% - 1.5%; 86.5% - 99.5%
p20,Right,BICEPSFEM_RT_uV,MED_GASTRORT_uV,0.0% - 10.0%; 84.0% - 99.5%
p20,Right,BICEPSFEM_RT_uV,SOLEUSRT_uV,0.0% - 1.5%; 84.0% - 99.5%
p20,Right,BICEPSFEM_RT_uV,VLORT_uV,85.5% - 93.5%
p20,Right,BICEPSFEM_RT_uV,RECTUSFEM_RT_uV,87.5% - 94.5%
p20,Right,BICEPSFEM_RT_uV,TIB_ANT_RT_uV,None
p20,Right,LAT_GASTRORT_uV,MED_GASTRORT_uV,0.0% - 4.0%; 52.0% - 58.0%; 99.0% - 99.5%
p20,Right,LAT_GASTRORT_uV,SOLEUSRT_uV,None
p20,Right,LAT_GASTRORT_uV,VLORT_uV,30.0% - 51.0%
p20,Right,LAT_GASTRORT_uV,RECTUSFEM_RT_uV,36.0% - 54.5%
p20,Right,LAT_GASTRORT_uV,TIB_ANT_RT_uV,40.5% - 49.0%
p20,Right,MED_GASTRORT_uV,SOLEUSRT_uV,None
p20,Right,MED_GASTRORT_uV,VLORT_uV,27.0% - 49.5%
p20,Right,MED_GASTRORT_uV,RECTUSFEM_RT_uV,38.0% - 51.0%
p20,Right,MED_GASTRORT_uV,TIB_ANT_RT_uV,37.5% - 47.5%
p20,Right,SOLEUSRT_uV,VLORT_uV,25.5% - 52.0%
p20,Right,SOLEUSRT_uV,RECTUSFEM_RT_uV,34.5% - 56.5%
p20,Right,SOLEUSRT_uV,TIB_ANT_RT_uV,37.0% - 55.5%
p20,Right,VLORT_uV,RECTUSFEM_RT_uV,None
p20,Right,VLORT_uV,TIB_ANT_RT_uV,None
p20,Right,RECTUSFEM_RT_uV,TIB_ANT_RT_uV,11.5% - 13.0%
p10,Left,BICEPSFEM_LT_uV,LAT_GASTROLT_uV,32.5% - 57.5%
p10,Left,BICEPSFEM_LT_uV,MED_GASTROLT_uV,35.5% - 59.0%
p10,Left,BICEPSFEM_LT_uV,SOLEUSLT_uV,32.0% - 56.5%
p10,Left,BICEPSFEM_LT_uV,VLOLT_uV,36.0% - 46.5%
p10,Left,BICEPSFEM_LT_uV,RECTUSFEM_LT_uV,35.5% - 46.0%
p10,Left,BICEPSFEM_LT_uV,TIB_ANT_LT_uV,38.0% - 43.5%
p10,Left,LAT_GASTROLT_uV,MED_GASTROLT_uV,10.5% - 12.0%
p10,Left,LAT_GASTROLT_uV,SOLEUSLT_uV,None
p10,Left,LAT_GASTROLT_uV,VLOLT_uV,0.0% - 6.0%; 81.5% - 99.5%
p10,Left,LAT_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 4.5%; 84.5% - 99.5%
p10,Left,LAT_GASTROLT_uV,TIB_ANT_LT_uV,0.0% - 3.5%; 88.5% - 99.5%
p10,Left,MED_GASTROLT_uV,SOLEUSLT_uV,None
p10,Left,MED_GASTROLT_uV,VLOLT_uV,0.0% - 2.5%; 78.5% - 99.5%
