Condition,Leg,Muscle 1,Muscle 2,Significant Gait Phases
m20,Left,BICEPSFEM_LT_uV,LAT_GASTROLT_uV,33.5% - 56.0%
m20,Left,BICEPSFEM_LT_uV,MED_GASTROLT_uV,35.5% - 58.0%
m20,Left,BICEPSFEM_LT_uV,SOLEUSLT_uV,32.5% - 55.5%
m20,Left,BICEPSFEM_LT_uV,VLOLT_uV,35.5% - 47.0%
m20,Left,BICEPSFEM_LT_uV,RECTUSFEM_LT_uV,37.0% - 46.0%
m20,Left,BICEPSFEM_LT_uV,TIB_ANT_LT_uV,37.0% - 44.5%
m20,Left,LAT_GASTROLT_uV,MED_GASTROLT_uV,2.5% - 5.5%; 8.0% - 13.5%; 57.5% - 58.5%
m20,Left,LAT_GASTROLT_uV,SOLEUSLT_uV,None
m20,Left,LAT_GASTROLT_uV,VLOLT_uV,0.0% - 5.0%; 80.5% - 99.5%
m20,Left,LAT_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 3.0%; 86.5% - 99.5%
m20,Left,LAT_GASTROLT_uV,TIB_ANT_LT_uV,0.0% - 4.5%; 86.5% - 99.5%
m20,Left,MED_GASTROLT_uV,SOLEUSLT_uV,None
m20,Left,MED_GASTROLT_uV,VLOLT_uV,0.0% - 1.5%; 79.0% - 99.5%
m20,Left,MED_GASTROLT_uV,RECTUSFEM_LT_uV,82.5% - 99.0%
m20,Left,MED_GASTROLT_uV,TIB_ANT_LT_uV,0.0% - 0.5%; 82.5% - 99.5%
m20,Left,SOLEUSLT_uV,VLOLT_uV,0.0% - 8.0%; 79.0% - 99.5%
m20,Left,SOLEUSLT_uV,RECTUSFEM_LT_uV,0.0% - 5.5%; 85.0% - 99.5%
m20,Left,SOLEUSLT_uV,TIB_ANT_LT_uV,0.0% - 5.5%; 89.5% - 99.5%
m20,Left,VLOLT_uV,RECTUSFEM_LT_uV,None
m20,Left,VLOLT_uV,TIB_ANT_LT_uV,57.0% - 62.0%
m20,Left,RECTUSFEM_LT_uV,TIB_ANT_LT_uV,60.0% - 65.0%
