Condition,Leg,Muscle 1,Muscle 2,Significant Gait Phases
nopert,Left,BICEPSFEM_LT_uV,LAT_GASTROLT_uV,34.5% - 58.0%
nopert,Left,BICEPSFEM_LT_uV,MED_GASTROLT_uV,36.5% - 60.5%
nopert,Left,BICEPSFEM_LT_uV,SOLEUSLT_uV,34.5% - 57.5%
nopert,Left,BICEPSFEM_LT_uV,VLOLT_uV,35.0% - 45.5%
nopert,Left,BICEPSFEM_LT_uV,RECTUSFEM_LT_uV,36.0% - 45.5%
nopert,Left,BICEPSFEM_LT_uV,TIB_ANT_LT_uV,41.0% - 44.0%
nopert,Left,LAT_GASTROLT_uV,MED_GASTROLT_uV,47.0% - 47.5%; 51.5% - 56.0%
nopert,Left,LAT_GASTROLT_uV,SOLEUSLT_uV,None
nopert,Left,LAT_GASTROLT_uV,VLOLT_uV,0.0% - 5.0%; 81.5% - 99.5%
nopert,Left,LAT_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 4.5%; 82.5% - 99.5%
nopert,Left,LAT_GASTROLT_uV,TIB_ANT_LT_uV,0.0% - 3.0%; 87.0% - 99.5%
nopert,Left,MED_GASTROLT_uV,SOLEUSLT_uV,None
nopert,Left,MED_GASTROLT_uV,VLOLT_uV,0.0% - 2.5%; 76.5% - 99.5%
nopert,Left,MED_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 0.5%; 75.0% - 99.5%
nopert,Left,MED_GASTROLT_uV,TIB_ANT_LT_uV,73.0% - 98.5%
nopert,Left,SOLEUSLT_uV,VLOLT_uV,0.0% - 8.5%; 77.0% - 99.5%
nopert,Left,SOLEUSLT_uV,RECTUSFEM_LT_uV,0.0% - 6.5%; 77.5% - 99.5%
nopert,Left,SOLEUSLT_uV,TIB_ANT_LT_uV,0.0% - 5.5%; 83.5% - 99.5%
nopert,Left,VLOLT_uV,RECTUSFEM_LT_uV,None
nopert,Left,VLOLT_uV,TIB_ANT_LT_uV,58.5% - 65.0%
nopert,Left,RECTUSFEM_LT_uV,TIB_ANT_LT_uV,60.0% - 65.0%
