Condition,Leg,Muscle 1,Muscle 2,Significant Gait Phases
nopert,Right,BICEPSFEM_RT_uV,LAT_GASTRORT_uV,0.0% - 4.5%; 89.0% - 99.5%
nopert,Right,BICEPSFEM_RT_uV,MED_GASTRORT_uV,0.0% - 6.0%; 88.0% - 99.5%
nopert,Right,BICEPSFEM_RT_uV,SOLEUSRT_uV,0.0% - 4.5%; 87.5% - 99.5%
nopert,Right,BICEPSFEM_RT_uV,VLORT_uV,88.5% - 95.0%
nopert,Right,BICEPSFEM_RT_uV,RECTUSFEM_RT_uV,90.0% - 94.5%
nopert,Right,BICEPSFEM_RT_uV,TIB_ANT_RT_uV,None
nopert,Right,LAT_GASTRORT_uV,MED_GASTRORT_uV,0.0% - 5.0%; 51.5% - 57.5%; 93.5% - 99.5%
nopert,Right,LAT_GASTRORT_uV,SOLEUSRT_uV,None
nopert,Right,LAT_GASTRORT_uV,VLORT_uV,30.5% - 50.0%
nopert,Right,LAT_GASTRORT_uV,RECTUSFEM_RT_uV,33.0% - 53.0%
nopert,Right,LAT_GASTRORT_uV,TIB_ANT_RT_uV,40.0% - 47.0%
nopert,Right,MED_GASTRORT_uV,SOLEUSRT_uV,None
nopert,Right,MED_GASTRORT_uV,VLORT_uV,24.5% - 49.5%
nopert,Right,MED_GASTRORT_uV,RECTUSFEM_RT_uV,30.0% - 51.0%
nopert,Right,MED_GASTRORT_uV,TIB_ANT_RT_uV,23.0% - 47.5%
nopert,Right,SOLEUSRT_uV,VLORT_uV,28.0% - 51.5%
nopert,Right,SOLEUSRT_uV,RECTUSFEM_RT_uV,32.5% - 55.0%
nopert,Right,SOLEUSRT_uV,TIB_ANT_RT_uV,43.0% - 55.5%
nopert,Right,VLORT_uV,RECTUSFEM_RT_uV,None
nopert,Right,VLORT_uV,TIB_ANT_RT_uV,None
nopert,Right,RECTUSFEM_RT_uV,TIB_ANT_RT_uV,None
