Condition,Leg,Muscle 1,Muscle 2,Significant Gait Phases
p20,Left,BICEPSFEM_LT_uV,LAT_GASTROLT_uV,32.0% - 57.0%
p20,Left,BICEPSFEM_LT_uV,MED_GASTROLT_uV,35.5% - 60.0%
p20,Left,BICEPSFEM_LT_uV,SOLEUSLT_uV,31.5% - 56.5%
p20,Left,BICEPSFEM_LT_uV,VLOLT_uV,36.0% - 47.0%
p20,Left,BICEPSFEM_LT_uV,RECTUSFEM_LT_uV,37.0% - 46.5%
p20,Left,BICEPSFEM_LT_uV,TIB_ANT_LT_uV,37.5% - 44.0%
p20,Left,LAT_GASTROLT_uV,MED_GASTROLT_uV,56.0% - 58.5%
p20,Left,LAT_GASTROLT_uV,SOLEUSLT_uV,None
p20,Left,LAT_GASTROLT_uV,VLOLT_uV,0.0% - 5.5%; 81.5% - 99.5%
p20,Left,LAT_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 4.5%; 86.0% - 99.5%
p20,Left,LAT_GASTROLT_uV,TIB_ANT_LT_uV,0.0% - 5.0%; 86.0% - 99.5%
p20,Left,MED_GASTROLT_uV,SOLEUSLT_uV,None
p20,Left,MED_GASTROLT_uV,VLOLT_uV,0.0% - 2.0%; 78.5% - 99.5%
p20,Left,MED_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 1.0%; 80.0% - 99.5%
p20,Left,MED_GASTROLT_uV,TIB_ANT_LT_uV,0.0% - 0.0%; 77.0% - 99.5%
p20,Left,SOLEUSLT_uV,VLOLT_uV,0.0% - 7.5%; 83.5% - 99.5%
p20,Left,SOLEUSLT_uV,RECTUSFEM_LT_uV,0.0% - 2.5%; 93.0% - 99.5%
p20,Left,SOLEUSLT_uV,TIB_ANT_LT_uV,None
p20,Left,VLOLT_uV,RECTUSFEM_LT_uV,None
p20,Left,VLOLT_uV,TIB_ANT_LT_uV,56.5% - 66.0%
p20,Left,RECTUSFEM_LT_uV,TIB_ANT_LT_uV,59.5% - 67.5%
