Condition,Leg,Muscle 1,Muscle 2,Significant Gait Phases
p20,Right,BICEPSFEM_RT_uV,LAT_GASTRORT_uV,0.0% - 1.5%; 86.5% - 99.5%
p20,Right,BICEPSFEM_RT_uV,MED_GASTRORT_uV,0.0% - 10.0%; 84.0% - 99.5%
p20,Right,BICEPSFEM_RT_uV,SOLEUSRT_uV,0.0% - 1.5%; 84.0% - 99.5%
p20,Right,BICEPSFEM_RT_uV,VLORT_uV,85.5% - 93.5%
p20,Right,BICEPSFEM_RT_uV,RECTUSFEM_RT_uV,87.5% - 94.5%
p20,Right,BICEPSFEM_RT_uV,TIB_ANT_RT_uV,None
p20,Right,LAT_GASTRORT_uV,MED_GASTRORT_uV,0.0% - 4.0%; 52.0% - 58.0%; 99.0% - 99.5%
p20,Right,LAT_GASTRORT_uV,SOLEUSRT_uV,None
p20,Right,LAT_GASTRORT_uV,VLORT_uV,30.0% - 51.0%
p20,Right,LAT_GASTRORT_uV,RECTUSFEM_RT_uV,36.0% - 54.5%
p20,Right,LAT_GASTRORT_uV,TIB_ANT_RT_uV,40.5% - 49.0%
p20,Right,MED_GASTRORT_uV,SOLEUSRT_uV,None
p20,Right,MED_GASTRORT_uV,VLORT_uV,27.0% - 49.5%
p20,Right,MED_GASTRORT_uV,RECTUSFEM_RT_uV,38.0% - 51.0%
p20,Right,MED_GASTRORT_uV,TIB_ANT_RT_uV,37.5% - 47.5%
p20,Right,SOLEUSRT_uV,VLORT_uV,25.5% - 52.0%
p20,Right,SOLEUSRT_uV,RECTUSFEM_RT_uV,34.5% - 56.5%
p20,Right,SOLEUSRT_uV,TIB_ANT_RT_uV,37.0% - 55.5%
p20,Right,VLORT_uV,RECTUSFEM_RT_uV,None
p20,Right,VLORT_uV,TIB_ANT_RT_uV,None
p20,Right,RECTUSFEM_RT_uV,TIB_ANT_RT_uV,11.5% - 13.0%
