Condition,Leg,Muscle 1,Muscle 2,Significant Gait Phases
pref,Right,BICEPSFEM_RT_uV,LAT_GASTRORT_uV,0.0% - 2.5%; 85.5% - 99.5%
pref,Right,BICEPSFEM_RT_uV,MED_GASTRORT_uV,0.0% - 4.5%; 86.5% - 99.5%
pref,Right,BICEPSFEM_RT_uV,SOLEUSRT_uV,0.0% - 2.0%; 86.0% - 99.5%
pref,Right,BICEPSFEM_RT_uV,VLORT_uV,88.0% - 94.0%
pref,Right,BICEPSFEM_RT_uV,RECTUSFEM_RT_uV,87.5% - 93.0%
pref,Right,BICEPSFEM_RT_uV,TIB_ANT_RT_uV,None
pref,Right,LAT_GASTRORT_uV,MED_GASTRORT_uV,1.0% - 9.5%; 53.0% - 60.0%
pref,Right,LAT_GASTRORT_uV,SOLEUSRT_uV,None
pref,Right,LAT_GASTRORT_uV,VLORT_uV,32.0% - 51.0%
pref,Right,LAT_GASTRORT_uV,RECTUSFEM_RT_uV,29.0% - 54.0%
pref,Right,LAT_GASTRORT_uV,TIB_ANT_RT_uV,None
pref,Right,MED_GASTRORT_uV,SOLEUSRT_uV,None
pref,Right,MED_GASTRORT_uV,VLORT_uV,31.5% - 49.5%
pref,Right,MED_GASTRORT_uV,RECTUSFEM_RT_uV,24.0% - 52.0%
pref,Right,MED_GASTRORT_uV,TIB_ANT_RT_uV,38.0% - 47.0%
pref,Right,SOLEUSRT_uV,VLORT_uV,29.5% - 51.5%
pref,Right,SOLEUSRT_uV,RECTUSFEM_RT_uV,22.5% - 56.0%
pref,Right,SOLEUSRT_uV,TIB_ANT_RT_uV,40.0% - 55.5%
pref,Right,VLORT_uV,RECTUSFEM_RT_uV,None
pref,Right,VLORT_uV,TIB_ANT_RT_uV,11.5% - 14.5%
pref,Right,RECTUSFEM_RT_uV,TIB_ANT_RT_uV,None
